video_id,channel_title,channel_id,video_publish_date,video_title,video_description,video_category,video_thumbnail,collection_date
fLflYkgnNBY,thejuicemedia,UCKRw8GAAtm27q4R3Q0kst_g,1619251553.0,Honest Government Ad | Electric Vehicles,"The Australien Government has made an ad about its Electric Vehicle policy, and it's surprisingly honest and informative. Ways ...",,https://i.ytimg.com/vi/fLflYkgnNBY/hqdefault.jpg,2023-12-02 21:46:47.019187
uTTJnGeMP_Q,UH Energy,UCVNAPIOXvfO9XlwNFrT2uNQ,1630016269.0,EV Webinar Series: The Unintended Risks of Current Electric Vehicle Policy (and Better Alternatives),"If the ultimate goal is to decarbonize transportation, there are reasons to be concerned about the current electric vehicle (EV) ...",,https://i.ytimg.com/vi/uTTJnGeMP_Q/hqdefault.jpg,2023-12-02 21:46:47.019231
M514CrMK428,ABC News (Australia),UCVgO39Bk5sMo66-6o6Spn6Q,1636461736.0,Government unveils electric vehicle policy but critics point to what&#39;s not in it | ABC News,The Prime Minister is defending his U-turn on electric vehicles as he unveils a multi-million-dollar strategy to increase their update ...,,https://i.ytimg.com/vi/M514CrMK428/hqdefault.jpg,2023-12-02 21:46:47.019267
wSki9sK7ybw,Sky News Australia,UCO0akufu9MOzyz3nvGIXAAw,1636623773.0,EV policy will allow Australians to ‘embrace’ electric cars,Finance Minister Simon Birmingham says the federal government's new electric vehicle policy aims to enable Australians to ...,,https://i.ytimg.com/vi/wSki9sK7ybw/hqdefault.jpg,2023-12-02 21:46:47.019300
v2Q4AN7By4w,Sky News Australia,UCO0akufu9MOzyz3nvGIXAAw,1636639065.0,‘A little unfair’ to criticise Scott Morrison for EV policy,Sky News Political Editor Andrew Clennell says the Morrison government's electric vehicle policy “clearly isn't the same” as the ...,,https://i.ytimg.com/vi/v2Q4AN7By4w/hqdefault.jpg,2023-12-02 21:46:47.019331
DClW67zhOt4,Labour Law Advisor,UCVOTBwF0vnSxMRIbfSE_K_g,1634027926.0,TAX Benefits of buying EV | #LLAShorts 46,Get smarter with Masterclasses by LLA Capital Gain Masterclass: cg.lla.in Employee Rights Masterclass: er.lla.in Income Tax ...,,https://i.ytimg.com/vi/DClW67zhOt4/hqdefault.jpg,2023-12-02 21:46:47.019363
iE30h3bSbZc,Electric Vehicle Society,UC5Yn3Jt_wPFjlvkNezF_f6w,1614840696.0,EV Policy and Canada&#39;s Clean Energy Future with Joanna Kyriazis of Clean Energy Canada,A discussion about the importance of policy in helping Canada transition to electric mobility. Lively question and answer session ...,,https://i.ytimg.com/vi/iE30h3bSbZc/hqdefault.jpg,2023-12-02 21:46:47.019393
JQott2JwXpk,Kalkine Media,UCCqqvuhldqUbRrvfek50N9w,1636979004.0,PM Morrison’s EV policy: 10 electric cars Aussies can choose,"Australia's PM, Scott Morrison, has announced plans to encourage electric vehicle buying. The plans came weeks after the ...",,https://i.ytimg.com/vi/JQott2JwXpk/hqdefault.jpg,2023-12-02 21:46:47.019424
pbU8ALatNhw,ASA-CCI,UCsaigIQ7MHvEyRHGZPFvb7g,1640278785.0,India&#39;s EV Policy and trends,,,https://i.ytimg.com/vi/pbU8ALatNhw/hqdefault.jpg,2023-12-02 21:46:47.019454
8J3tpKvNQRc,Owl WiS,UCgYM5-3Q0oZ38XBYlgbc4JQ,1636974005.0,"Government subsidy for electric vehicles | FAME I, FAME II schemes",Hi everyone!! In this video let us Understand government subsidy for electric vehicles. In order to encourage people to buy electric ...,,https://i.ytimg.com/vi/8J3tpKvNQRc/hqdefault.jpg,2023-12-02 21:46:47.019484
